ProviderId,DataYear,MSPB_1_Score,MeasureStartDate,MeasureEndDate
010149,2016,0.95,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010150,2012,0.96,NULL,NULL
010150,2013,0.98,NULL,NULL
010150,2014,0.96,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010150,2015,1.02,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010150,2016,1.02,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010152,2012,1.05,NULL,NULL
010157,2012,1.07,NULL,NULL
010157,2013,1.06,NULL,NULL
010157,2014,1.06,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010157,2015,1.03,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010157,2016,1.03,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010158,2012,0.91,NULL,NULL
010158,2013,0.98,NULL,NULL
010158,2014,0.93,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010158,2015,0.94,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010158,2016,0.94,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010164,2012,0.96,NULL,NULL
010164,2013,0.99,NULL,NULL
010164,2014,0.97,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010164,2015,1.01,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010164,2016,1.01,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010168,2012,0.94,NULL,NULL
010168,2013,0.94,NULL,NULL
010168,2014,0.94,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010168,2015,0.94,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010168,2016,0.94,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010169,2012,0.95,NULL,NULL
010169,2013,0.94,NULL,NULL
010169,2014,0.90,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
010169,2015,0.96,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
010169,2016,0.96,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
020001,2012,0.88,NULL,NULL
020001,2013,0.85,NULL,NULL
020001,2014,0.89,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
020001,2015,0.90,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
020001,2016,0.90,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
020006,2012,0.78,NULL,NULL
020006,2013,0.81,NULL,NULL
020006,2014,0.80,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
020006,2015,0.75,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
020006,2016,0.75,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
020008,2012,0.84,NULL,NULL
020008,2013,0.84,NULL,NULL
020008,2014,0.94,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
020008,2015,0.85,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
020008,2016,0.85,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
020012,2012,0.8,NULL,NULL
020012,2013,0.78,NULL,NULL
020012,2014,0.77,2013-01-01 00:00:00.000,2013-12-31 00:00:00.000
020012,2015,0.79,2014-01-01 00:00:00.000,2014-12-31 00:00:00.000
